Date,Active traders,Trades,Listed assets,Trustlines,Marketcap (USD),DEX vol. (USD),CEX vol. (USD),Total vol. (USD),,,
2024/4/22,2295,337512,3.67K,7.38M,$123.57M,$0.86M,$4.03M,$4.89M,,,
2024/4/23,1517,255345,3.67K,7.38M,$122.15M,$0.45M,$4.54M,$4.99M,,,
2024/4/24,1554,36842,3.67K,7.38M,$133.28M,$0.35M,$3.35M,$3.70M,,,
2024/4/25,3833,195747,3.67K,7.38M,$120.28M,$0.41M,$4.30M,$4.71M,,,
2024/4/26,2049,180462,3.67K,7.38M,$120.49M,$0.48M,$3.85M,$4.34M,,,
2024/4/27,1990,45421,3.68K,7.38M,$123.39M,$0.34M,$4.14M,$4.49M,,,
2024/4/28,2504,31307,3.68K,7.37M,$125.87M,$0.31M,$4.15M,$4.46M,,,
2024/4/29,1893,36219,3.68K,7.38M,$132.28M,$0.52M,$3.83M,$4.35M,,,
2024/4/30,2089,60371,3.68K,7.38M,$131.48M,$0.36M,$1.71M,$2.07M,,,
2024/5/1,3121,73194,3.69K,7.37M,$131.76M,$0.59M,$2.89M,$3.48M,,,
2024/5/2,4707,70369,3.69K,7.37M,$127.31M,$0.57M,$3.36M,$3.93M,,,
2024/5/3,2558,105998,3.69K,7.37M,$130.70M,$0.51M,$4.06M,$4.56M,,,
2024/5/4,2501,44037,3.69K,7.37M,$130.23M,$0.36M,$3.88M,$4.24M,,,
2024/5/5,2808,56991,3.69K,7.37M,$129.94M,$0.47M,$4.20M,$4.67M,,,
2024/5/6,3173,63566,3.70K,7.37M,$128.46M,$0.75M,$3.08M,$3.83M,,,
2024/5/7,2106,50292,3.70K,7.37M,$126.86M,$0.44M,$1.97M,$2.41M,,,
2024/5/8,3311,68722,3.70K,7.37M,$127.59M,$0.46M,$3.89M,$4.36M,,,
2024/5/9,2379,43795,3.70K,7.37M,$114.91M,$0.40M,$4.86M,$5.26M,,,
