pool,Fee Tier,Start Date,Expiry Date,Duration(Day),Yield Source,Base Asset,Underlying Issuer,chain,AverageIY,Average Daily LP TVL,Total Swap Fee,Total Swap Fee (im+ex),Average Daily Swap Fee,Average Daily Swap Fee (im + ex),Average TV,EfficientRatio,EfficientRatioB
cmETH 13FEB2025,0.001,2024-10-29,2025-02-13,107,1-Staking,ETH,Mantle,5000,0.081159905,37577605.49,26758.09372,49426.11637,264.931621,489.3674888,1959805.263,0.00475334,0.052153543
ether.fi weETH 26SEP2024,0.003,2024-05-14,2024-09-26,135,2-Restaking,ETH,Ether.fi,1,0.079604528,31236221.19,92278.8178,121496.4362,688.647894,906.6898221,1287091.704,0.010594809,0.041205103
Renzo ezETH 26DEC2024,0.001,2024-04-21,2024-12-26,249,2-Restaking,ETH,Renzo,1,0.08730041,31179362.05,214609.7912,373231.3773,894.2074633,1555.130739,691802.2341,0.018205078,0.022187825
Corn Lombard LBTC 26DEC2024,0.001,2024-09-09,2024-12-26,108,2-Restaking,BTC,Lombard,1,0.09234264,30273843.25,34760.71525,93055.55303,324.8664977,869.6780657,2779651.61,0.010485372,0.091816939
Renzo ezETH 25APR2024,0.001,2024-01-28,2024-04-25,88,2-Restaking,ETH,Renzo,1,0.436566745,30038461.27,235582.2823,996282.4716,2739.328864,11584.6799,35554040.7,0.14076647,1.183617243
Ether.Fi Liquid Bera ETH 10APR2025,0.003000001,2025-01-07,2025-04-10,93,1-Staking,ETH,Ether.fi,1,0.134225252,28896716.1,70736.2017,71141.25413,2281.812958,2294.879166,3166119.471,0.028987062,0.109566757
Ether.Fi Liquid Bera BTC 10APR2025,0.0025,2025-01-07,2025-04-10,93,1-Staking,BTC,Ether.fi,1,0.158501869,27746111.61,87367.78201,88517.00332,2818.315549,2855.387204,4542662.652,0.037562609,0.163722496
Corn ether.fi eBTC 27MAR2025,0.001,2024-10-16,2025-03-27,162,2-Restaking,BTC,Ether.fi,1,0.073556365,27483601.23,68733.8087,109289.198,602.9281465,958.6771757,2569127.917,0.012731853,0.093478576
Bedrock uniBTC 27MAR2025,0.0015,2024-12-10,2025-03-27,107,2-Restaking,BTC,Bedrock,1,0.041962428,26501574.23,732.9802868,1059.137141,18.32450717,26.47842854,55235.20222,0.000364681,0.002084223
SolvBTC Babylon 27MAR2025,0.0015,2024-12-10,2025-03-27,107,2-Restaking,BTC,Solv Finance,1,0.071586936,26086547.19,12034.43543,27440.65087,267.4318985,609.7922416,818316.6668,0.008532144,0.031369298
