pool,Fee Tier,Start Date,Expiry Date,Yield Source,Base Asset,Underlying Issuer,chain,AverageIY,Average Daily LP TVL,Total Swap Fee,Total Swap Fee (im+ex),Average Daily Swap Fee,Average Daily Swap Fee (im + ex),Average TV,EfficientRatio*,EfficientRatioB**
USUALX 27MAR2025,0.02,20 Dec 2024,27 Mar 2025,6-Stablecoins,Other,Usual,1,1.4148332320964252,7557514.454127188,410948.9924087355,420511.112234316,8218.97984817471,8410.22224468632,1113853.3581525686,0.4061826329202868,0.14738355644748902
GLP 28MAR2024,0.001,23 Feb 2023,28 Mar 2024,5-Derivative,Other,GMX,42161,0.15949758694681174,7552549.247255526,40354.27536882145,87657.45219499564,101.90473577985215,221.35720251261526,246929.32210627123,0.01069776260597895,0.032694831112289845
Mellow sUSDe 27MAR2025,0.002,24 Sept 2024,27 Mar 2025,2-Restaking,Stable,Mellow Protocol,1,0.17804426463850143,7511863.6612475,7212.348214624774,14736.840827583113,62.17541564331702,127.04173127226822,98534.82477185418,0.006172933110273884,0.013117227523734162
Zircuit Staking USDe 27JUN2024,0.01,5 Apr 2024,27 Jun 2024,6-Stablecoins,Stable,Ethena,1,0.45868631568779633,7386920.062884927,344174.5250681361,444019.4825589978,4469.79902685891,5766.486786480491,3694725.0290249116,0.2849316980754454,0.5001712483107545
Kelp rsETH 26JUN2025,0.0005,6 Nov 2024,26 Jun 2025,2-Restaking,ETH,Kelp,1,0.037202893890619836,7197648.70095003,1920.4814192237618,6464.035255499394,29.09820332157215,97.93992811362719,108318.82364888999,0.004966632194310272,0.01504919566782869
Renzo ezETH 26SEP2024,0.003,14 May 2024,26 Sept 2024,2-Restaking,ETH,Renzo,42161,0.08891578440167792,6977605.236325635,34259.26226221671,48320.62929168967,253.7723130534571,357.9305873458494,427751.0449021128,0.018723424435233834,0.061303417206125
Renzo ezETH 26SEP2024,0.003,14 May 2024,26 Sept 2024,2-Restaking,ETH,Renzo,1,0.09187883675792523,6756284.838384347,18167.138132278866,28288.239902173464,152.66502632167115,237.71630169893666,237512.1259069374,0.012842331576544448,0.03515424994481649
King Karak LRT 26DEC2024,0.001,3 Sept 2024,26 Dec 2024,2-Restaking,ETH,Ether.fi,1,0.06111336162934826,6492482.629542116,2873.334095154018,7421.268732222505,31.57509994674745,81.55240365079675,228239.20805661514,0.0045847835151836425,0.0351543810095202
mPendle SY 26DEC2024,0.001,16 Oct 2024,26 Dec 2024,8-Other,Other,Penpie,42161,0.05163812231578821,6444374.052293762,876.1117513391221,2959.5683007193134,12.33960213153693,41.68406057351145,189290.75175103312,0.0023609247361916063,0.029373023697104983
Concrete sUSDe Vault 10APR2025,0.004999998,9 Jan 2025,10 Apr 2025,6-Stablecoins,Stable,Ethena,1,0.2480663466755555,6356702.532761688,22089.229035742606,22110.044760036202,761.6975529566416,762.4153365529725,682802.5095466037,0.04377766560690936,0.1074145763511067
Concrete WBTC Vault 10APR2025,0.003,14 Jan 2025,10 Apr 2025,1-Staking,BTC,Concrete,1,0.14971011145109536,6247227.9664778635,11642.53791165886,11695.244968538853,506.1973005069069,508.4889116756023,823558.1928579347,0.029708929105437116,0.1318277798212397
Ethena USDe 24OCT2024,0.001,17 Jul 2024,24 Oct 2024,6-Stablecoins,Stable,Ethena,1,0.11911657994048608,6199194.44284803,9044.645114063835,29902.376329724575,92.29229708228402,305.1262890788222,665388.3770548605,0.017965414142196854,0.10733465181472324
Ethena USDe 4APR2024,0.003,27 Feb 2024,4 Apr 2024,6-Stablecoins,Stable,Ethena,1,1.5336672807451899,6133934.0030293325,106366.65385042038,453315.3943212044,2874.77442838974,12251.767414086606,15032211.88781662,0.7290419335997257,2.4506641056771628
